,Марка,YearMonth,Страховая сумма,Количество дней от события до урегулирования,Оценка убытка
52,Лада Самара,202401,240931.00241943146,42.0,128855
53,Lada,202311,844894.2884505517,3.0,149034
54,Киа,202412,2106051.5603298773,23.0,167780
55,Жигули,202305,333586.0906051456,9.0,124464
56,Киа,202407,1501463.9339186694,39.0,155688
57,Lada,202308,701347.3310461108,14.0,144419
58,Киа,202407,2503555.8667172072,14.0,130092
59,Киа,202407,1307684.2797935256,0.0,142528
60,Мерседес-Бенц,202409,7666305.604112165,8.0,176310
61,Жигули,202311,309236.198649844,7.0,117102
62,Лада Самара,202501,721528.706626414,29.0,149071
63,Мерседес-Бенц,202312,4398676.907023444,29.0,187995
64,Мерседес-Бенц,202303,6555426.426004307,10.0,233980
65,Lada,202311,1674547.6363989827,29.0,147823
66,Киа,202312,1827613.6493845375,49.0,153518
67,Lada,202412,832617.9629475371,28.0,136209
68,Жигули,202404,490692.2034957546,15.0,110497
69,Киа,202312,2600162.730549971,31.0,135971
70,Лада Самара,202307,553684.6204361552,10.0,122674
71,Мерседес-Бенц,202301,8098365.244966081,13.0,194707
72,Киа,202306,1413474.8406587834,71.0,158455
73,Киа,202402,2281168.0168258273,36.0,138978
74,Киа,202312,2952469.832925425,15.0,145581
75,Lada,202311,806294.4420007693,21.0,147128
76,Мерседес-Бенц,202410,6273035.943018114,9.0,178495
77,Жигули,202402,395053.15960673674,14.0,106377
78,Lada,202301,770319.0134330998,9.0,131773
79,Киа,202404,2001783.4086701055,2.0,147739
80,Lada,202405,672754.1952472196,15.0,135034
81,Мерседес-Бенц,202310,5742956.083857829,1.0,223541
82,Лада Самара,202405,596084.3566928103,35.0,124743
83,Киа,202411,2983538.05954531,7.0,132129
84,Лада Самара,202411,362801.486397511,15.0,110450
85,Киа,202408,1298561.1408147146,10.0,145396
86,Киа,202406,2129902.655944297,3.0,152837
87,Киа,202310,1322037.6621479704,79.0,159215
88,Lada,202301,757686.9483022512,14.0,132579
89,Жигули,202311,479164.80673190794,4.0,115122
90,Жигули,202404,325607.00094477105,14.0,123350
91,Жигули,202406,429604.9863070394,16.0,124328
92,Lada,202302,629328.6838758698,11.0,121739
93,Мерседес-Бенц,202302,7796764.955834195,63.0,222521
94,Киа,202407,1889437.6291862652,12.0,159743
95,Киа,202409,2720486.50920542,42.0,130801
96,Lada,202405,1158879.2507677523,36.0,130608
97,Жигули,202411,331877.70316586253,13.0,108522
98,Жигули,202405,260223.34859636752,3.0,116328
99,Жигули,202306,365208.95462140266,34.0,114566
100,Мерседес-Бенц,202402,4247432.428284623,13.0,208464
101,Лада Самара,202309,382114.2644615291,45.0,121190
102,Лада Самара,202309,423239.96480601747,-100.0,142001
103,Жигули,202303,359046.0449396198,6.0,151363
104,Жигули,202309,251519.24807783953,21.0,125158
105,Киа,202403,2723429.3506647665,1.0,165037
106,Киа,202407,2112513.7807988627,6.0,146091
107,Жигули,202401,492936.2634986616,59.0,111399
108,Lada,202407,1123342.9076082578,25.0,131494
109,Киа,202311,2638537.777118811,8.0,158365
110,Лада Самара,202307,704995.3587177264,,135958
111,Жигули,202307,326634.1726272711,65.0,118922
112,Киа,202404,1846412.1164622817,12.0,161654
113,Мерседес-Бенц,202501,7198017.098195227,14.0,203983
114,Lada,202305,677115.8041437963,5.0,113107
115,Киа,202409,2070153.3678695885,17.0,160273
116,Жигули,202312,421338.31507833,3.0,121436
117,Мерседес-Бенц,202302,7671735.764873159,2.0,224036
118,Киа,202301,2087380.1800098063,23.0,157530
119,Киа,202406,970142.9445556568,60.0,142994
120,Жигули,202406,477966.6589338128,1.0,120623
121,Киа,202410,2836114.6516335225,1.0,143510
122,Жигули,202401,330696.7447083488,14.0,123421
123,Лада Самара,202311,491249.2658865054,7.0,147925
124,Киа,202407,2945207.349648192,2.0,141221
125,Лада Самара,202407,556720.0445230422,8.0,129822
126,Киа,202406,2609432.935161857,14.0,119066
127,Киа,202311,2332848.373494017,-100.0,178331
128,Lada,202308,1473574.3517807764,17.0,136154
129,Мерседес-Бенц,202403,6046377.532645435,12.0,193056
130,Жигули,202411,204710.0992583923,16.0,132780
131,Киа,202305,1955638.483745366,43.0,173473
132,Мерседес-Бенц,202411,5767038.162526918,6.0,174408
133,Лада Самара,202306,474914.9173275864,19.0,127278
134,Lada,202310,756412.7460605212,9.0,137967
135,Lada,202309,882704.3222597414,0.0,113344
136,Mercedes,202301,7529235.16245081,16.0,215293
137,Жигули,202303,596519.907400842,7.0,106289
138,Мерседес-Бенц,202409,4162862.359712533,1.0,197740
139,Lada,202309,849430.7211286178,26.0,123386
140,Мерседес-Бенц,202408,4096640.495792425,4.0,257346
141,Жигули,202312,342066.7077882569,6.0,142276
142,Жигули,202405,301026.1631686454,27.0,109314
143,Mercedes,202501,6596719.617266509,5.0,187814
144,Жигули,202409,397249.9074463196,8.0,103989
145,Жигули,202402,317274.60399501433,26.0,116267
146,Лада Самара,202409,421832.1671300149,5.0,134652
147,Мерседес-Бенц,202412,4693875.546695803,60.0,182410
148,Мерседес-Бенц,202409,6967848.074387193,3.0,195684
149,Лада Самара,202501,451200.0960492363,6.0,129680
150,Лада Самара,202310,445984.9764933929,6.0,117557
151,Лада Самара,202501,251923.19023633702,3.0,150048
152,Киа,202309,3611842.97623841,1.0,150443
153,Lada,202408,610578.586069999,25.0,142017
154,Лада Самара,202403,326190.53989948187,4.0,167729
155,Жигули,202412,591787.5520883738,14.0,109269
156,Лада Самара,202405,362933.69344636385,20.0,147679
157,Mercedes,202310,9808115.870879699,-100.0,272262
158,Лада Самара,202307,475071.1043323713,21.0,157254
159,Киа,202308,1462430.4856645744,4.0,157550
160,Mercedes,202307,6810215.054202202,21.0,191894
161,Киа,202407,1667489.1366342201,12.0,155345
162,Жигули,202410,590207.2809467718,36.0,116422
163,Мерседес-Бенц,202406,5077054.90458526,62.0,213530
164,Киа,202409,1646693.845366292,37.0,168675
165,Мерседес-Бенц,202411,6346615.466840636,38.0,215505
166,Lada,202405,814665.3215994328,26.0,121601
167,Lada,202407,1074637.888111047,51.0,119708
168,Жигули,202303,470920.2125152382,9.0,111825
169,Киа,202308,1995264.602161548,17.0,149632
170,Мерседес-Бенц,202403,5891504.556663932,77.0,240300
171,Lada,202407,1091816.133924472,132.0,142508
172,Жигули,202408,534869.3529574829,0.0,112698
173,Жигули,202305,406083.4875493361,51.0,120762
174,Мерседес-Бенц,202307,6254256.687305051,,204541
175,Мерседес-Бенц,202412,6499174.761275704,49.0,227271
176,Киа,202301,2423887.4157481724,26.0,136975
177,Lada,202312,863877.7407392424,71.0,154325
178,Лада Самара,202309,845260.0623090471,23.0,146572
179,Лада Самара,202306,458526.5345523328,5.0,129042
180,Lada,202305,482590.27435750957,38.0,178805
181,Киа,202401,1763236.4342469221,17.0,167271
182,Лада Самара,202401,382928.37463646306,0.0,123353
183,Киа,202412,1469190.9086829629,34.0,163966
184,Лада Самара,202401,313657.44996961317,38.0,131377
185,Жигули,202402,395489.9762950218,11.0,112368
186,Мерседес-Бенц,202501,4194726.560088043,0.0,182863
187,Жигули,202411,322229.14870068926,1.0,116472
188,Киа,202311,1781850.048465223,48.0,128958
189,Мерседес-Бенц,202408,4735857.998139977,9.0,177344
190,Lada,202303,835969.908876134,28.0,141884
191,Киа,202312,1945824.5793637075,32.0,146381
192,Киа,202308,1648112.454258056,51.0,186062
193,Киа,202401,3142471.2378757005,60.0,164571
194,Жигули,202304,462313.3699576895,8.0,126174
195,Лада Самара,202304,382578.437556364,15.0,140890
196,Мерседес-Бенц,202301,6957431.452340411,31.0,204279
197,Киа,202407,3266986.279751242,41.0,164953
198,Мерседес-Бенц,202312,4270207.530746875,10.0,203108
199,Киа,202304,2047557.6576871397,9.0,155059
200,Лада Самара,202309,343972.47164138476,9.0,130269
201,Lada,202306,764622.738579967,31.0,153580
202,Мерседес-Бенц,202309,8469023.741076177,33.0,192751
203,Киа,202403,2093196.5505604493,22.0,123153
204,Lada,202303,1284144.0346226178,13.0,129232
205,Мерседес-Бенц,202501,5812915.679812411,12.0,239151
206,Жигули,202301,360952.957292467,112.0,134817
207,Мерседес-Бенц,202303,5044904.0378016075,21.0,232346
208,Lada,202408,873063.5735514484,29.0,138341
209,Мерседес-Бенц,202304,6919720.931725583,40.0,211461
210,Киа,202412,1290183.7738945128,47.0,143111
211,Жигули,202310,485408.8114682309,26.0,115852
212,Жигули,202303,209243.81616338599,11.0,120688
213,Lada,202302,766448.4708920617,30.0,136632
214,Лада Самара,202409,302337.22807683266,19.0,133046
215,Жигули,202409,325639.6534869378,36.0,126293
216,Жигули,202310,385291.5429742191,36.0,117614
217,Жигули,202306,475360.25822742516,29.0,127760
218,Жигули,202304,466965.440773464,19.0,139238
219,Киа,202410,1507420.1292115604,40.0,186270
220,Жигули,202301,385582.8735993363,3.0,110744
221,Жигули,202311,502762.6479116388,74.0,140050
222,Lada,202310,922600.2000173188,34.0,148062
223,Мерседес-Бенц,202306,6942572.3408791,-100.0,230069
224,Lada,202412,760957.7966298821,11.0,164697
225,Киа,202310,2036028.259628813,1.0,168833
226,Жигули,202303,181997.52872178474,48.0,108070
227,Жигули,202312,328546.4682829196,44.0,123840
228,Киа,202309,1877446.1959172832,11.0,138759
229,Лада Самара,202312,315805.65620319726,48.0,139328
230,Мерседес-Бенц,202412,3570848.3268679385,53.0,255591
231,Мерседес-Бенц,202402,7016275.075248407,20.0,222322
232,Лада Самара,202410,607657.0201194088,6.0,134843
233,Жигули,202406,372509.732331604,41.0,114102
234,Киа,202310,1873648.8099476148,0.0,136823
235,Лада Самара,202404,371038.1468589207,16.0,150485
236,Мерседес-Бенц,202412,9048551.412055794,5.0,187994
237,Киа,202307,2242688.332972535,5.0,173511
238,Жигули,202311,352399.33248948434,21.0,132452
239,Lada,202501,1435342.0642046696,38.0,122589
240,Жигули,202305,456178.0823556387,13.0,140832
241,Киа,202309,2841514.3413913227,2.0,128866
242,Mercedes,202305,5356338.210072314,28.0,194977
243,Лада Самара,202301,545862.10862363,20.0,144317
244,Мерседес-Бенц,202406,5115994.967454677,5.0,223060
245,Мерседес-Бенц,202304,5844004.163066484,36.0,201840
246,Жигули,202312,455613.3463273099,42.0,114176
247,Киа,202306,2636408.382780013,21.0,149021
248,Киа,202501,2566276.4834443177,13.0,155874
249,Лада Самара,202405,232271.59161408263,62.0,137345
250,Жигули,202404,291797.45167776354,16.0,113041
251,Mercedes,202303,5185131.802030499,1.0,192979
252,Lada,202407,1062421.459027633,50.0,132573
253,Жигули,202310,354939.41677182633,20.0,110333
254,Киа,202407,1515761.8617752458,5.0,154959
255,Жигули,202403,400108.4786208296,8.0,135292
256,Киа,202306,2718850.0377241564,5.0,140695
257,Lada,202311,587909.2289913631,14.0,147870
258,Киа,202309,1669526.0898209794,26.0,177858
259,Киа,202304,1749434.9522980992,57.0,142487
260,Лада Самара,202501,416426.2931666137,0.0,130303
261,Жигули,202310,415784.3908001128,47.0,123434
262,Lada,202312,955334.9994868902,6.0,119589
263,Киа,202312,1992040.4807316638,52.0,153007
264,Мерседес-Бенц,202402,5685637.250688039,14.0,196717
265,Лада Самара,202308,435948.6042642214,12.0,126979
266,Жигули,202303,506305.50172613235,2.0,115465
267,Лада Самара,202402,580995.2226166839,59.0,129984
268,Киа,202312,2710650.1377752107,0.0,161688
269,Мерседес-Бенц,202401,5208893.916310753,1.0,160546
270,Киа,202304,1497810.7648843955,32.0,138373
271,Lada,202307,1036438.743311987,23.0,135243
272,Lada,202311,787943.2063339647,30.0,125375
273,Lada,202311,1264227.0636907432,33.0,146886
274,Мерседес-Бенц,202302,3745583.8699697047,9.0,209423
275,Лада Самара,202308,393172.9253512773,10.0,131776
276,Жигули,202310,600471.3444143042,41.0,124562
277,Мерседес-Бенц,202304,6507537.719587762,20.0,205736
278,Жигули,202410,284912.62254934,0.0,102175
279,Лада Самара,202405,219730.00990831834,1.0,136666
280,Жигули,202501,394826.0297900854,7.0,106786
281,Mercedes,202301,7515774.631651019,7.0,228047
282,Lada,202406,1323087.6584405235,6.0,137441
283,Lada,202412,596517.2813725208,70.0,131151
284,Lada,202404,1062905.0342930001,1.0,123358
285,Жигули,202405,259081.13962180345,24.0,115268
286,Киа,202405,2384752.863037556,25.0,128899
287,Киа,202312,1526264.421546172,9.0,179071
288,Киа,202309,2370471.729966163,39.0,163902
289,Киа,202407,1294686.1990863227,34.0,154467
290,Лада Самара,202403,526958.4257580893,16.0,125713
291,Жигули,202411,439238.4542908844,3.0,117627
292,Lada,202304,990553.7912150004,9.0,128604
293,Киа,202408,1851698.9664389805,52.0,180168
294,Жигули,202306,360370.0936935742,1.0,96809
295,Жигули,202401,439450.43088655657,29.0,106261
296,Жигули,202412,436443.7377180579,42.0,104777
297,Лада Самара,202310,661630.5678875258,4.0,143200
298,Мерседес-Бенц,202312,6802634.800127117,-100.0,189798
299,Жигули,202406,563074.582773373,8.0,127232
300,Жигули,202407,530750.5841094635,7.0,120311
301,Мерседес-Бенц,202501,5432851.161214687,4.0,223032
302,Жигули,202402,262549.1362072236,47.0,134233
303,Киа,202409,1929762.4558935007,18.0,153852
304,Мерседес-Бенц,202302,3285895.5486744363,13.0,223707
305,Лада Самара,202305,371172.1081833698,76.0,122150
306,Lada,202402,881826.9730518626,6.0,107273
307,Жигули,202406,420495.8162769576,1.0,121817
308,Мерседес-Бенц,202410,5319275.856573121,15.0,204469
309,Лада Самара,202301,533734.5023646163,-100.0,125439
310,Lada,202411,1235901.8681139,15.0,132725
311,Lada,202401,1056711.411649914,5.0,111675
312,Lada,202501,1105094.3486267412,5.0,124659
313,Жигули,202404,374249.6387109334,7.0,138169
314,Мерседес-Бенц,202309,8320628.794690069,26.0,225822
315,Жигули,202302,443705.89523363626,69.0,135045
316,Лада Самара,202309,372330.765700972,12.0,129344
317,Жигули,202302,525154.8633756754,0.0,121312
318,Жигули,202311,255064.34498172533,47.0,142149
319,Лада Самара,202301,451551.62532543286,51.0,150689
320,Жигули,202308,166925.9449441971,16.0,130079
321,Киа,202304,2611545.502367128,16.0,118997
322,Лада Самара,202501,369509.65439380525,11.0,142534
323,Lada,202404,468634.7636695721,10.0,130566
324,Жигули,202403,296541.11162006547,12.0,109530
325,Жигули,202501,544386.8113052638,12.0,129654
326,Киа,202405,986421.9244612631,48.0,152892
327,Жигули,202302,222543.04269923607,8.0,125550
328,Жигули,202310,476256.34515644424,35.0,115567
329,Лада Самара,202306,346997.51234657655,19.0,117011
330,Киа,202309,1845070.9769869824,24.0,184659
331,Киа,202403,1716282.9015864253,58.0,136651
332,Киа,202302,1728915.6481967843,83.0,144830
333,Киа,202402,2076204.3494633785,1.0,158394
334,Lada,202407,1348095.26161486,1.0,150155
335,Лада Самара,202408,478248.782390893,105.0,140505
336,Киа,202410,2547058.75016629,115.0,169142
337,Жигули,202304,425577.928915161,18.0,128351
338,Лада Самара,202408,219462.48741836095,35.0,122915
339,Лада Самара,202405,377768.6668869735,51.0,121425
340,Лада Самара,202302,494535.0857996338,48.0,150829
341,Lada,202305,855639.5473289783,18.0,144561
342,Лада Самара,202302,294237.42310075747,20.0,177196
343,Жигули,202312,237999.31695948704,53.0,112926
344,Lada,202401,690171.4623663998,54.0,137346
345,Киа,202304,1884350.4000320619,41.0,154231
346,Лада Самара,202307,438741.6399880892,28.0,117833
347,Lada,202304,571527.7214550225,35.0,129009
348,Жигули,202301,206152.0162928904,7.0,125756
349,Лада Самара,202310,408094.81344999693,4.0,138633
350,Жигули,202311,404453.21354901063,1.0,109577
351,Киа,202501,1631065.6817616909,74.0,150880
352,Мерседес-Бенц,202408,5737063.9249436455,1.0,240483
353,Киа,202403,2973718.0969299786,17.0,151143
354,Lada,202501,653155.4501702054,126.0,129393
355,Лада Самара,202411,557705.391020642,27.0,167225
356,Лада Самара,202303,352683.2386851939,67.0,140871
357,Киа,202308,1462913.5937753578,27.0,139055
358,Lada,202409,692933.048255855,97.0,153024
359,Киа,202308,2637474.1441182224,21.0,136824
360,Киа,202408,1743152.3374993936,1.0,132356
361,Лада Самара,202303,545775.8525668021,34.0,129223
362,Лада Самара,202405,397978.561566866,25.0,123806
363,Жигули,202307,257137.42984301466,9.0,111262
364,Лада Самара,202406,336536.66383231146,182.0,123119
365,Жигули,202305,378364.7605963316,14.0,122650
366,Жигули,202306,305001.73544461804,6.0,105778
367,Lada,202406,761838.1239858395,45.0,119619
368,Лада Самара,202304,247479.83152073977,27.0,140969
369,Киа,202401,2003284.1293180024,95.0,150464
370,Киа,202309,2029973.325350267,6.0,149097
371,Жигули,202304,258812.66297154254,25.0,118669
372,Киа,202312,2331373.141172019,18.0,189084
373,Мерседес-Бенц,202407,7205772.22386215,108.0,211015
374,Киа,202410,2982918.3078148183,4.0,146051
375,Lada,202402,891774.2300150979,21.0,141204
376,Жигули,202408,442620.2150951406,5.0,123819
377,Киа,202501,2552573.6951334327,11.0,165930
378,Мерседес-Бенц,202404,6598357.129433527,41.0,212134
379,Мерседес-Бенц,202408,6422055.756919818,8.0,213175
380,Лада Самара,202404,281810.165535663,16.0,144703
381,Жигули,202307,249651.77892429198,19.0,135209
382,Киа,202412,2666895.677798414,108.0,147649
383,Киа,202310,3464561.0573982624,9.0,129977
384,Мерседес-Бенц,202406,5206957.184465955,1.0,167383
385,Жигули,202411,451844.55531146814,49.0,129775
386,Lada,202301,904653.9537851656,28.0,139377
387,Киа,202312,2027371.7715398022,14.0,132107
388,Киа,202307,2565505.3468166315,18.0,151618
389,Киа,202308,3390645.9864427946,20.0,145752
390,Жигули,202305,326870.0432547722,19.0,112479
391,Lada,202501,987565.341945458,31.0,113754
392,Киа,202409,2319837.918706476,9.0,144455
393,Киа,202404,2290408.9200055455,4.0,153808
394,Лада Самара,202402,564916.4741588641,31.0,162711
395,Лада Самара,202303,323361.3659581243,67.0,119026
396,Лада Самара,202310,324026.52784005104,53.0,130110
397,Киа,202408,2040481.8959944292,26.0,178669
398,Мерседес-Бенц,202404,4804130.508018417,44.0,229459
399,Mercedes,202405,5695390.240974861,32.0,248910
400,Киа,202305,1916457.885572274,14.0,150722
401,Жигули,202302,371641.60726108105,8.0,130819
402,Lada,202407,1091133.5958985146,12.0,124831
403,Lada,202401,685914.0692856234,26.0,123527
404,Лада Самара,202406,324671.86052546464,4.0,112260
405,Мерседес-Бенц,202411,6627839.903431307,11.0,204178
406,Лада Самара,202411,315350.79548679845,3.0,139817
407,Жигули,202409,543935.6016473295,23.0,127322
408,Киа,202412,2893101.728734472,18.0,180236
409,Мерседес-Бенц,202311,3813425.8464986784,37.0,192027
410,Жигули,202409,547498.9327272797,11.0,135534
411,Киа,202303,1537766.950753983,0.0,142752
412,Киа,202405,2242407.0123348394,2.0,162769
413,Жигули,202401,284322.92056164995,61.0,122461
414,Lada,202403,1309172.9037493693,15.0,135703
415,Lada,202301,838774.9966700036,5.0,136827
416,Мерседес-Бенц,202308,6219073.805617606,17.0,206917
417,Киа,202411,1911159.1094696985,8.0,172808
418,Lada,202403,994172.6127464741,4.0,107360
419,Lada,202301,842915.4333507853,19.0,127110
420,Лада Самара,202405,543007.4689247311,3.0,123742
421,Мерседес-Бенц,202306,6725169.046353404,7.0,224405
422,Киа,202404,2207941.665327539,77.0,146435
423,Жигули,202405,467129.6101364139,13.0,120978
424,Lada,202410,1043385.3998384811,50.0,132564
425,Lada,202301,1330792.9795669946,23.0,146427
426,Жигули,202311,321484.5198743391,30.0,120770
427,Мерседес-Бенц,202412,7440351.198015067,22.0,225969
428,Lada,202406,883111.2035028469,12.0,149034
429,Lada,202403,1065242.4299151849,10.0,164095
430,Киа,202311,1927504.7221030993,9.0,163430
431,Лада Самара,202401,315582.56755266094,78.0,143176
432,Мерседес-Бенц,202310,6726676.20078929,57.0,251087
433,Киа,202404,1878849.1286244113,2.0,164060
434,Lada,202501,675643.3823246302,117.0,139235
435,Лада Самара,202501,399046.2762405082,5.0,128454
436,Лада Самара,202304,483430.99354162294,1.0,146063
437,Киа,202403,3329212.6666424284,28.0,147022
438,Мерседес-Бенц,202404,5656685.005139712,18.0,215125
439,Лада Самара,202305,424101.30813268153,35.0,116124
440,Лада Самара,202301,406674.5937530349,11.0,131470
441,Жигули,202412,353388.05707670335,0.0,131222
442,Lada,202412,828910.1996112885,10.0,121354
443,Киа,202404,2300702.4398599393,12.0,162713
444,Мерседес-Бенц,202410,5473315.202363778,10.0,164702
445,Лада Самара,202308,544906.7518678324,52.0,155086
446,Лада Самара,202302,456981.1161954413,22.0,124866
447,Лада Самара,202406,385415.62712763814,10.0,129112
448,Мерседес-Бенц,202310,6450959.371479265,46.0,240377
449,Киа,202401,2946334.0489792065,22.0,146561
450,Мерседес-Бенц,202303,7887514.422607448,-100.0,228854
451,Lada,202307,1004491.1105042953,-100.0,144300
452,Киа,202305,3222351.3063606923,36.0,173225
453,Жигули,202411,565661.7130335211,18.0,134906
454,Мерседес-Бенц,202409,4929723.734409792,5.0,200232
455,Мерседес-Бенц,202401,6177853.0165113155,24.0,233082
456,Киа,202409,3246556.9800613285,0.0,145494
457,Жигули,202409,335147.3153694993,34.0,125486
458,Мерседес-Бенц,202305,6861625.486719885,60.0,248633
459,Mercedes,202407,5474959.113419084,134.0,240673
460,Жигули,202307,285632.17974065186,6.0,118109
461,Lada,202304,768231.5338175363,20.0,160385
462,Мерседес-Бенц,202307,5241885.402101722,33.0,208446
463,Жигули,202306,491354.76807593915,39.0,110451
464,Lada,202309,1230919.908490183,1.0,111690
465,Lada,202304,744145.0660778944,44.0,135234
466,Lada,202308,479069.17970449576,15.0,128315
467,Киа,202403,3087732.2632005136,27.0,169324
468,Киа,202305,1466174.7832189102,15.0,142404
469,Мерседес-Бенц,202410,6608592.077364716,74.0,184428
470,Киа,202307,3331040.3972202246,23.0,152546
471,Мерседес-Бенц,202312,3939565.2033938477,15.0,174818
472,Лада Самара,202402,519237.0559206519,19.0,135840
473,Lada,202309,831662.8543816899,12.0,135402
474,Мерседес-Бенц,202308,6046613.797300351,23.0,199932
475,Лада Самара,202405,408212.7012076758,13.0,118070
476,Жигули,202306,285031.8524770848,3.0,110609
477,Lada,202406,1068747.849649666,46.0,134959
478,Лада Самара,202303,431741.6895370457,115.0,120933
479,Жигули,202406,279534.0679515169,1.0,120753
480,Киа,202405,3806023.3905716944,0.0,149821
481,Mercedes,202301,5356912.042782629,82.0,233522
482,Киа,202309,1715270.3918769308,23.0,140191
483,Лада Самара,202308,447558.4158263586,8.0,130144
484,Мерседес-Бенц,202306,3198061.3685464184,15.0,237399
485,Жигули,202304,284266.4617588695,0.0,120166
486,Лада Самара,202403,474004.10275872744,70.0,134636
487,Мерседес-Бенц,202406,5480753.6318295505,49.0,223441
488,Мерседес-Бенц,202405,2166233.735250738,12.0,163274
489,Киа,202401,1829723.0453957338,33.0,195654
490,Мерседес-Бенц,202304,5237949.003983252,25.0,183264
491,Lada,202306,942676.195151889,63.0,141478
492,Lada,202311,1000683.2006650174,14.0,123691
493,Lada,202308,958901.495726232,2.0,118040
494,Киа,202309,2695470.1544432994,0.0,157143
495,Лада Самара,202301,430260.5489094947,25.0,133596
496,Жигули,202312,292923.3847137596,45.0,124774
497,Киа,202306,1475428.3534547735,52.0,157286
498,Киа,202303,2493005.043321173,36.0,162202
499,Жигули,202309,250644.7962018457,8.0,126472
500,Жигули,202306,441533.2186971335,13.0,132535
501,Жигули,202305,259762.1367577842,35.0,101639
502,Жигули,202303,344073.8636820588,12.0,111920
503,Жигули,202412,432251.98256389087,7.0,110012
504,Мерседес-Бенц,202309,4692437.290063514,18.0,228709
505,Мерседес-Бенц,202401,8463887.313116584,25.0,224259
506,Жигули,202304,253948.15613759705,93.0,131778
507,Lada,202305,911442.6197138893,2.0,119952
508,Мерседес-Бенц,202402,5728728.246839931,59.0,185355
509,Киа,202403,2347163.9567315327,59.0,129924
510,Киа,202412,2056998.717516429,3.0,152703
511,Киа,202405,3897982.205492206,13.0,130131
512,Lada,202306,1171450.046822508,36.0,147798
513,Жигули,202308,410931.58197009517,3.0,110946
514,Лада Самара,202306,626374.5788024645,0.0,119930
515,Лада Самара,202303,488640.15880351193,21.0,131210
516,Лада Самара,202407,458892.937230563,15.0,118667
517,Лада Самара,202408,324513.1827358693,36.0,148269
518,Киа,202403,3111091.433540608,48.0,137108
519,Жигули,202310,217304.33681850627,34.0,118702
520,Жигули,202411,465457.7436235456,-100.0,133991
521,Лада Самара,202405,512956.81088883657,12.0,110698
522,Мерседес-Бенц,202307,6912931.30492908,13.0,179773
523,Лада Самара,202410,261858.0535155745,38.0,128367
524,Киа,202407,2052847.3972519631,28.0,151189
525,Киа,202407,2062258.425094902,2.0,154956
526,Киа,202308,1933103.8883512972,19.0,153017
527,Жигули,202305,219557.56816550734,11.0,125919
528,Мерседес-Бенц,202308,5528120.114314296,24.0,214427
529,Лада Самара,202402,331722.4423148776,48.0,143417
530,Киа,202403,2396068.917139516,3.0,128876
531,Жигули,202501,434627.82777480833,5.0,113783
532,Мерседес-Бенц,202309,5795794.937856985,50.0,205461
